English,German
a middle-aged woman is vacuuming her kitchen floor with a canister vac,eine frau mittleren alters saugt ihren küchenboden mit einem kanister-staubsauger
two women are outside and one woman is wearing an apron looking into a black machine,zwei frauen stehen im freien und eine frau in einer schürze schaut in ein schwarzes gerät
a toddler in a white hooded jacket holds on to the wall,ein kleinkind in einem weißen jäckchen mit kapuze hält sich an der wand fest
a clown in red plaid pants and a pink hat sits in front of a tent,ein clown in rot karierter hose und einem rosa hut sitzt vor einem zelt
a woman riding a horse in a dirt arena carrying an american flag,eine frau die in einer arena mit erdboden ein pferd reitet und eine amerikanische flagge trägt
a man in a jacket jumping around a stick-pole on the beach,ein mann in einer jacke tanzt am strand um eine stange herum
two small children playing in a kiddie pool with water guns,zwei kleine kinder spielen in einem planschbecken mit wasserpistolen
several adults and children rioting for smaller class sizes,mehrere erwachsene und kinder protestieren für eine kleinere anzahl von schülern in den klassen
a welder in a mask welding with sparks flying,ein schweißer mit maske der schweißt wobei funken vorbeifliegen
a young woman stands singing at a microphone while a man behind her holds a guitar,eine junge frau singt in ein mikrofon während ein mann hinter ihr eine gitarre hält
an asian marching band with uniformed members in beige yellow and red play in the street,eine asiatische blaskapelle mit mitgliedern in beige-gelb-roten uniformen spielt auf der straße
a well dressed dark-haired dark-skinned young man wearing earbuds sits and rests against a tree,ein gut angezogener dunkelhaariger dunkelhäutiger junger mann mit ohrstöpseln sitzt an einen baum angelehnt
a woman and a man enjoying his drink on party night,eine frau und ein mann der alkohol trinkt auf einer partynacht
a little girl throws a pink and yellow chunk of chalk,ein kleines mädchen wirft ein pink-gelbes stück kreide
a child drawing a picture using crayons,ein kind malt mit buntstiften ein bild
two young men face each other with medieval armor weapons and clothes,zwei junge männer stehen sich in mittelalterlicher rüstung und mit waffen gegenüber
a man is sitting in an office looking at a computer screen,ein mann sitzt in einem büro und betrachtet den bildschirm eines computers
a bicyclist in orange shorts and green backpack passing through a busy street,ein radfahrer mit orangefarbener kurzer hose und grünem rucksack fährt durch eine belebte straße
a bmx biker flies in the air off of a ramp,ein bmx-fahrer fliegt von einer rampe in die luft
a red hatted man is controlling a red machine to clear out the road with blue skies and green tress behind him,ein mann mit einem roten hut kontrolliert eine maschine zum räumen der straße der himmel ist blau und hinter ihm sind bäume zu sehen
a dog swims through the water while holding a stick in its mouth,ein hund schwimmt im wasser und hält dabei einen stock im maul
a woman is carrying a bowl full of fruit on her head near the ocean side,eine frau in der nähe des meeres trägt eine schale voller obst auf ihrer hand
a dog in a &quot; superman &quot; shirt sleeps on a blanket,ein hund mit einem &quot; superman &quot; hemd schläft auf einer decke
a young man is texting while standing in front of a poster,ein junger mann steht vor einem poster und schreibt eine sms
a man with a red bowtie singing a solo with a full men &apos;s choir in the background,ein mann mit roter fliege der ein solo singt mit einem vollständigen männerchor im hintergrund
a boy rides a swing,ein junge sitzt auf einer schaukel
a brown dog is about to jump,ein brauner hund bereit zum sprung
people enjoying the cool water from the fountain in a hot day,leute genießen das kalte wasser eines springbrunnens an einem heißen tag
a brown and black bull runs from a small black dog,ein braun-schwarzer bulle rennt vor einem kleinen schwarzen hund davon
a hooded man working in a kiosk displays his wares,ein mann mit kapuze arbeitet in einem kiosk und stellt seine waren aus
person in red ski jacket skiing backwards,eine person mit roter skijacke fährt rückwärts ski
a woman climbing a rocky cliff,eine frau klettert an einer felsigen klippe
woman and man with cane climb stairs from underground station,eine frau und eine mann mit stock gehen die treppen einer u-bahnstation hinauf
a group of oriental dancers are performing in a parking lot,eine gruppe orientalischer tänzerinnen beim auftritt auf einem parkplatz
a pit crew makes repairs to a motocross bike while the pit crew boss supervises,ein boxenteam repariert ein motocross-bike und wird vom teamchef beaufsichtigt
children sitting on rock in the desert,kinder sitzen auf einem felsen in der wüste
a man carrying a broom and dustpan is watching while a young boy is shining a woman &apos;s shoe,ein mann mit schaufel und besen in der hand sieht zu wie ein kleiner junge den schuh einer frau putzt
a scientist is looking into his microscope,ein wissenschaftler schaut durch ein mikroskop
three people are pulling a rope on a hillside,drei leute ziehen auf einem hang an einem seil
a child is playing among a flock of birds in the park,ein kind spielt mitten in einem vogelschwarm im park
two women walk down the street in the city linking arms,zwei frauen in einer stadt gehen arm in arm die straße entlang
a man sitting on a bus bench while listening to music,ein mann sitzt auf einer bank im bus und hört musik
the drenched dog is swimming,der durchnässte hund schwimmt
a group of people stand on the sidewalk in front of several storefronts with a cart parked near them,eine gruppe von leuten steht auf einem gehweg vor mehreren geschäften vor denen ein karren abgestellt ist
a girl in the volleyball challenge at the 2012 london olympics,ein mädchen beim volleyball-turnier bei den olympischen spielen 2012 in london
a long snowboarder jumping over a barricade outside in the snow,ein großer snowboarder springt über eine absperrung im schnee
a man in white pants plays the guitar singing as two other band members play along and dance,ein mann in einer weißen hose singt und spielt gitarre während zwei andere bandmitglieder mitspielen und tanzen
a young child dressed in yellow dances among a group of people gathered outside,ein kleines gelb gekleidetes kind tanzt inmitten einer gruppen von leuten die sich im freien versammelt haben
a child in a red snowsuit stands next to a snow pile,ein kind in einem roten schneeanzug steht neben einem schneehaufen
two dogs chase down a mowed grass field,zwei hunde jagen eine gemähte wiese hinunter
a military man holding a camera showing a child the film on the camera,ein militär hält eine kamera und zeigt einem kind den film auf der kamera
two men sit on a pontoon boat holding oars and wearing hats,zwei männer sitzen auf einem ponton-boot halten ruder und tragen hüte
three men are standing in a police boat with many rocks behind them,drei männer stehen auf einem polizeiboot wobei sich hinter ihnen viele steine befinden
many people are watching a man in yellow make animal balloons,viele leute beobachten einen mann in gelb der tierballons macht
a little boy with blond-hair is sitting on the floor cutting something with scissors,ein kleiner junge mit blondem haar sitzt auf dem boden und schneidet etwas mit einer schere
a small crowd of people jumping into the air,eine kleine menschenmenge springt in die luft
a tan dog chases a white dog through the leafy grass,ein lohfarbener hund verfolgt einen weißen hund über eine mit blättern übersäte wiese nach
two girls preparing their home for a big party,zwei mädchen bereiten ihre wohnung für eine große party vor
a girl wearing a headband is carrying a pink sign on the street,ein mädchen mit einem stirnband trägt ein rosa schild auf der straße
a surfer rides a large wave on a blue board,ein surfer reitet auf einem blauen brett auf einer großen welle
a lady watching kids play on a tree,eine dame beobachtet kinder die auf einem baum spielen
a person trails behind some ducks on the water to a lake,eine person geht hinter ein paar enten auf dem wasser zu einem see
two young boys wearing red life jackets sit next to one another on the deck of a boat,zwei jungen tragen rote rettungswesten und sitzen nebeneinander auf dem bootsdeck
a man in a white shirt and a woman in a red shirt are dancing outdoors with many people surrounding,ein mann in einem weißen hemd und eine frau in einem roten hemd tanzen im freien und sind von vielen menschen umgeben
two girls teams are playing volleyball,zwei mädchenmannschaften spielen volleyball
a man is playing a drum in a marching band,ein mann spielt in einem spielmannszug auf einer trommel
a woman enjoying the breeze of a primitive fan,eine frau genießt die brise eines einfachen lüfters
a girl wearing sunglasses smiles for the camera,ein mädchen mit sonnenbrille lächelt in die kamera
a smiling little boy jumps up to a toy basketball hoop,ein lächelnder kleiner junge springt zu einem spielzeug-basketballkorb hoch
a team of people putting their hands in the middle,ein personenteam hält die hände in die mitte
a young boy covered in ink stands in front of a white door,ein tintenverschmierter junge steht vor einer weißen tür
a woman about to eat in a white room,eine frau in einem weißen zimmer ist im begriff zu essen
a man getting a tattoo on his back,ein mann der ein tattoo auf seinem rücken erhält
all of these people are waiting to cross the street,alle diese personen warten darauf die straße überqueren zu können
blond man in a black suit with yellow shoes in jumping over a hurdle,ein blonder mann in einem schwarzen anzug und mit gelben schuhen springt über eine hürde
woman wearing white with a baby in her lap,eine weiß gekleidete frau mit einem baby auf dem schoß
a gentlemen in a burgundy long-sleeve shirt is at a fruit stand selling watermelon,ein herr in einem burgunderroten langärmligen oberteil steht an einem obststand und verkauft wassermelone
2 little girls drawing while listening to a band play at a bar or restaurant,zwei kleine mädchen zeichnen und hören dabei einer band in einer bar oder einem restaurant zu
a man in a white shirt sitting with a woman in a blue blouse,ein mann in einem weißen hemd sitzt bei einer frau in einer blauen bluse
a trailer drives down a red brick road,ein anhänger fährt eine mit rotem backstein gepflasterte straße entlang
three people loading or unloading their car,drei leute entladen oder beladen ihr auto
a yong woman in a gray shirt holds a necklace she is wearing,eine junge frau in einem grauen t-shirt hält eine halskette die sie trägt
a man in a yellow shirt re-shingles a roof,ein mann in einem gelben hemd deckt ein dach neu
a man in a sweatshirt places a garbage bag over a mailbox,ein mann mit einem sweatshirt stülpt eine mülltüte über einen briefkasten
kids race around a go-cart track with adult supervision,kinder fahren auf einer go-cart-bahn unter der aufsicht erwachsener rennen
people look upon a monument where a speed is being given,personen betrachten ein monument auf dem eine geschwindigkeit angezeigt wird
a small bird sold something in its beak,ein kleiner vogel hat etwas im schnabel
a man wearing all white with gold stripes holding a golden torching waving at the crowd,ein mann ganz in weiß mit goldenen streifen hält eine goldene fackel und winkt der menge
native americans in decorative dress appear to be celebrating for a cause,indianer in schmuckvoller kleidung feiern offenbar etwas
two white dogs run side by side in green grass,zwei weiße hunde laufen nebeneinander im grünen gras
a boy is kneeling under a statue of bear that has a painting of a man on its back,ein junge kniet unter einer statue eines bären die ein bild von einem mann auf dem rücken hat
two basketball players fighting over control of a ball,zwei basketballspieler kämpfen um den besitz des balls
a man gesturing with his hands in a room full of computers,ein mann gestikuliert mit seinen armen in einem raum voller computer
a native american pow wow is being demonstrated to onlookers,amerikanische ureinwohner führen vor zuschauern einen powwow auf
a group of people gather in front of a ticket vendor,eine menschenmenge vesammelt sich von einem kartenverkäufer
a young boy playing in a swimming pool,ein kleiner junge spielt in einem schwimmbecken
two girls and a parent getting a dorm room set up for the school year,zwei mädchen und ein elternteil richten ein zimmer in einem studentenwohnheim für das schuljahr ein
a white and black dog racing on a track,ein weiß-schwarzer hund rennt auf einem weg
girls sitting with their hands on their laps,mädchen sitzen mit den händen im schoß da
young girl sliding down an inflated slide,mädchen das eine aufblasbare rutsche hinunterrutscht
a man standing and cheering amongst a stadium of others sitting,ein mann der in einem stadium zwischen sitzenden personen steht und jemand anfeuert
a brown dog is jumping in the air,ein brauner hund springt in die luft
a man in a gray t-shirt rests,ein mann in einem grauen t-shirt ruht sich aus
a boy in a red jersey is playing ice hokey on an outdoor ice rink,ein junge in einem roten trikot spielt eishockey auf einer eisfläche im freien
a woman and a boy are sitting and eating at a table,eine frau und ein junge sitzen und essen an einem tisch
a crowd is outside watching someone in the center of them,eine im freien versammelte menschenmenge sieht jemandem zu der sich in ihrer mitte befindet
a man is riding a horse as people watch,ein mann reitet auf einem pferd während menschen zuschauen
a man sitting on a porch selling red goods,ein mann sitzt auf einer veranda und verkauft rote ware
dogs in the water with a basketball and a person on horseback,hunde im wasser mit einem basketball und ein mensch auf einem pferd
sports player opening a bottle of champagne to celebrate his victory,ein sportler öffnet einer flasche champagner um seinen sieg zu feiern
two women sitting next to each other one is holding a baby and the other is showing her bracelet,zwei frauen sitzen nebeneinander von denen eine frau ein baby hält und die andere ihr armband zeigt
two adults are outside talking while a little boy watches them,zwei erwachsene unterhalten sich draußen während sie ein kleiner junge beobachtet
tri-level building with people standing on each level &apos;s balcony as people look on from below,ein dreistöckiges gebäude auf dessen balkonen in jedem stockwerk leute stehen wähend andere personen von unten hinaufschauen
a child wearing a blue coat runs along the snow while a small dog follows,ein kind mit einem blauen mantel rennt durch den schnee und hinter ihm läuft ein kleiner hund
a young man wearing a red t-shirt and black pants performs a front wheel stand on a bicycle,ein junger mann mit rotem t-shirt und schwarzer hose führt mit seinem fahrrad einen vorderradstand vor
the three boys who are wearing life jackets are looking into the water,die drei jungen in schwimmwesten schauen ins wasser
the gondola is poling his boat in the canal,der gondoliere stößt sein boot durch den kanal
three people walk on the rocks near the water,drei personen laufen auf den felsen in der nähe des wassers
a black mine rides a big tricycle with three large barrels strapped to the back,ein dunkelhäutiger mann fährt ein großes dreirad auf dem drei große fässer festgebunden sind
people waiting outside a building next to a mural,leute warten vor einem gebäude neben einem wandgemälde
a brunet man is kissing a crying baby,ein braunhaariger mann küsst ein schreiendes baby
emergency medical technicians work to help a man,rettungssanitäter helfen einem mann
children are very excited to see a parrot eating food from his hand,kinder sind sehr aufgeregt weil sie sehen wie ein papagei aus seiner hand frisst
a football player runs past an official carrying a football,ein football-spieler rennt mit einem football an einem schiedsrichter vorbei
a bicycle is parked in front of a shop that has a large orange sign,ein fahrrad ist vor einem laden mit einem großen orangefarbenen schild geparkt
a skateboarder is in the air after skating up a cement ramp,ein skater fährt auf einer betonrampe hoch und befindet sich in der luft
a middle-aged man is appalled as someone wants him to try a skewer with some odd fish on it,ein mann mittleren alters ist entsetzt als ihm jemand einen seltsamen fisch auf einem spieß anbietet
a woman is jogging on a sidewalk next to an elevated grassy platform,eine frau joggt auf einem gehweg neben einer erhöhten grasbewachsenen plattform
a man is holding his nose while tasting something and the woman is laughing at him,ein mann kostet etwas und hält sich dabei die nase zu während eine frau über ihn lacht
a child is observing a specimen in a microscope,ein kind schaut sich ein präparat durch ein mikroskop an
a girl stands beside a laying dog while leaning on a fence and standing on the dirt ground,ein mädchen steht neben einem liegenden hund während es an einem zaun lehnt und auf dem schmutzigen boden steht
a girl in white is swinging a sword,ein weiß gekleidetes mädchen schwingt ein schwert
a dog with a red collar and its tongue hanging out runs through tall grass,ein hund mit rotem halsband und heraushängender zunge rennt durch hohes gras
two clowns are standing along side a woman,zwei clowns nehmen eine frau in die mitte
a man in a black shirt running down a busy sidewalk,ein mann in einem schwarzem hemd geht einen belebten bürgersteig entlang
seven people jump into the water,sieben leute springen ins wasser
a skier makes a jump with his skis crossed,ein skifahrer macht einen sprung mit überkreuzten skiern
a team of dogs and a woman following on a bike,ein hundeteam und eine frau die einem fahrrad folgen
children wearing black and white are performing,kinder treten in schwarz-weißer kleidung auf
young boys practice swimming in an indoor pool,kleine jungen üben in einem überdachten schwimmbecken schwimmen
people walking and a woman carrying bags,leute gehen spazieren und eine frau trägt taschen
a group of men wearing orange reflective vests and pants are posing for a photo,eine gruppe von männern in orangefarbenen reflektierenden westen und hosen posiert für ein foto
a young lady is getting ready to sing into a microphone,eine junge frau bereitet sich darauf vor ins mikrofon zu singen
black brown and white dog crouches on three legs in the grass,schwarz braun und weißer hund hockt auf drei beinen im gras
seven people three sitting and four standing look at framed poster art in a gallery,sieben personen von denen drei sitzen und vier stehen schauen sich in einer galerie gerahmte plakatkunstwerke an
a man flies into the air with his surfboard,ein mann hebt mit seinem surfbrett ab
a group of girls in blue outfits,eine gruppe von mädchen in blauen outfits
a boy on a black surfboard riding the wave on his stomach,ein junge liegt mit dem bauch auf einem schwarzen surfbrett und fährt auf einer welle
a man wearing a black hat opening a cardboard box,ein mann der einen schwarzen hut trägt öffnet eine pappschachtel
a man in a wetsuit on a surfboard,ein mann surft in einem neoprenanzug auf einem surfbrett
a group of people standing in line outside the hyatt regency,eine gruppe von menschen steht in einer schlange vor dem hyatt regency
a young girl sits on the forest floor and looks up through binoculars,ein kleines mädchen sitzt auf dem waldboden und blickt durch ein fernglas
a street with streetlights and a bus stop,eine straße mit straßenlaternen und einer bushaltestelle
a man and woman walk down the street together,ein mann und eine frau gehen zusammen die straße entlang
a woman is sitting in front of a computer,eine frau sitzt vor einem computer
a man making balloon figures during an outdoor event,ein mann macht bei einer veranstaltung im freien ballonfiguren
a woman in a bikini and sunglasses is bumping a volleyball at the beach,eine frau in einem bikini und mit sonnenbrille baggert einen volleyball am strand
two soccer players fall to the ground near the ball,zwei fu0ballspieler fallen in der nähe des balls zu boden
rodeo riding cowboy trying to keep on a bucking bull in an arena surrounded by rodeo clowns,ein rodeoreiter versucht sich in einer arena zwischen rodeoclowns auf einem sich aufbäumenden bullen zu halten
a little girl climbing a ropes apparatus,ein kleines mädchen klettert an einer seilvorrichtung
a man is carrying many large bags that are hooked onto a pole,ein mann trägt viele auf einer stange aufgehängte große taschen
a dog bounds across the brown grass,ein hund hüpft durchs braune gras
ho king produce store offering snow peas broccoli and napa,ein ho king geschäft bietet zuckererbsen brokkoli und napa an
a woman is playing a music game in an arcade,eine frau spielt ein musikspiel in einer arkade
a young girl wearing pink and zebra print smiling while holding a stuffed animal at a birthday party,ein junges mädchen in rosa kleidung mit zebramuster hält lächelnd ein stofftier bei einer geburtstagsparty fest
two men and one girl are wearing life jackets and swimming in the water,zwei männer und ein mädchen schwimmen in schwimmwesten im wasser
two people are walking onto a stepping stone path,zwei menschen gehen über einen weg aus trittsteinen entlang
a lady with a brown dress on is holding a glass and a cigarette in the middle of a room full of people,eine dame in einem braunen kleid inmitten eines zimmers voller leute hält ein glas und eine zigarette
a little dog looks at a tennis ball in the air and a parrot sits nearby,ein kleiner hund betrachtet einen tennisball in der luft in der nähe sitzt ein papagei
a man wearing a white t-shirt and headphones uses spray paint while working on a mural,ein mann in einem weißene t-shirt und mit kopfhörer verwendet sprühfarbe für eine wandmalerei
a couple sit outside of an establishment,ein paar sitzt außerhalb eines betriebes
man walking down a dirt road with stores on the side,mann geht unbefestigte straße mit geschäften am rand entlang
kids are playing in fountains in a city,kinder spielen in springbrunnen in einer stadt
military official greets children who are waving american flags,ein militärbeamter grüßt kinder die die amerikanische fahne schwenken
kids pass the time while others watch,kinder vertreiben sich die zeit während andere zuschauen
two police officer looking men on a motorcycle with a white ice chest on it as well wearing hats,zwei männer auf einem motorrad auf dem sich auch eine kühlbox befindet sehen aus wie polizisten und haben mützen auf
a woman holds a &quot; car wash &quot; sign on the edge of a quiet street,eine frau hält ein &quot; car wash &quot; -schild am rand einer ruhigen straße
a dog about to jump to catch a frisbee,ein hund der gleich hochspringen wird um eine frisbee-scheibe zu fangen
a soccer game is underway between the red and green team and the blue team,es ist ein fußballspiel zwischen der rot-grünen und der blauen mannschaft im gang
many asian children made a train under a viet nam sign,viele asiatische kinder bilden einen zug unter einem vietnam-schild
a dog is running in the snow,ein hund rennt im schnee
two men are working on train tracks,zwei männer arbeiten auf gleisen
a girl in a cowboy hat and a boy standing on the ocean shore,ein mädchen in einem cowboyhut und ein junge stehen direkt am meer
four children carrying backpacks turn to face the camera and smile as they walk down a country road,vier kinder mit rucksäcken drehen sich in richtung der kamera und lächeln während sie eine landstraße entlanggehen
two children one of them is playing a trumpet for tips,zwei kinder von denen eines für geld trompete spielt
workmen in orange clothes repairing a street,bauarbeiter in orangefarbener kleidung reparieren eine straße
a girl in orange is hitting the ball in field hockey,ein mädchen in orange schlägt den ball beim feldhockey
a group of people wearing various shades of white performs at an activity center on stage,eine gruppe von menschen in verschiedenen weißschattierungen tritt in einem aktivitätszentrum auf der bühne auf
two woman stand near a door,zwei frauen stehen bei einer tür
a young man wearing a top hat and tracksuit is sitting in the drivers seat of a petty cab,ein junger mann mit einem zylinder und trainingsanzug sitzt auf dem fahrersitz einer kleinen droschke
a woman in a light colored dress is singing to an audience,eine frau in einem hellen kleid singt vor einem publikum
a black guitarist in a yellow tracksuit and black fedora sits on a public bench playing his guitar,ein schwarzer gitarrist in einem gelben trainingsanzug und mit einem schwarzen filzhut sitzt auf einer öffentlichen bank und spielt gitarre
semi-pro martial artist practices his most powerful moves,halbprofessioneller kampfsportler übt seine wirkungsvollsten bewegungen
a woman wearing red leggings and a white shirt hangs upside down from a metal structure,eine frau in roten leggings und einem weißen oberteil hängt kopfüber von einem metallgerüst herunter
seagulls abandon their rock as a wave crashes against it,möwen verlassen ihren felsen als wellen dagegenschlagen
a group of men standing atop a submarine,eine gruppe von männern steht auf einem u-boot
a white bird is flying off the water surface,ein weißer vogel fliegt über der wasseroberfläche
a professional soccer player trying to cross the ball while another tries to make the tackle,ein profi-fußballer versucht den ball abzugeben während ein anderer versucht ihn anzugreifen
a man with creepy face paint wearing a bodysuit is free falling,ein mann mit gruseliger gesichtsbemalung trägt ein bodysuit und ist im freien fall
a black dog sticking its nose into the water,ein schwarzer hund hält seine nase ins wasser
a busy city scene with many different types of vehicles either parked or moving along on the freeway,eine belebte stadtszene mit vielen verschiedenen fahrzeugen die entweder abgestellt sind oder auf der autobahn fahren
a man with a painted face wearing women &apos;s swimwear and riding a bicycle,ein mann mit angemaltem gesicht fährt in einem frauenbadeanzug fahrrad
friends are showing off a new drink,freunde stellen ein neues getränk zur schau
girl is standing out on the train tracks,ein mädchen steht auf dem gleis
two people in white tops and black aprons,zwei personen in weißen oberteilen und schwarzen schürzen
two muddy athletes from opposing teams going head to head in a game of rugby while fans watch expectantly,zwei verdreckte rugbyspieler der beiden gegnerischen mannschaften liegen im spiel gleichauf und werden von den fans gespannt beobachtet
a crowd awaits for a train as it enters the station,eine menschenmenge wartet auf einen zug als dieser im bahnhof einfährt
two male musicians on stage wearing t-shirts and one is playing the guitar the other is singing,zwei musiker in t-shirts von denen einer gitarre spielt und der andere singt stehen auf der bühne
a little boy in a hat picking up easter eggs,ein kleiner junge mit kopfbedeckung sammelt ostereier
two men work on girls bike in front of garage,zwei männer reparieren ein mädchenfahrrad vor einer garage
a woman in eclectic garb draws on another woman &apos;s hand,eine frau in eklektischer kleidung malt einer anderen frau etwas auf die hand
these two workers are working on putting up some kind of metal building,diese beiden arbeiter sind damit beschäftigt eine art metallbauwerk zu errichten
an older man in a white sweater talks on a cellphone,ein älterer mann in einem weißen pullover telefoniert auf seinem handy
a small group of people look at an artistic water fountain,eine kleine gruppe von personen betrachtet einen kunstvollen springbrunnen
a little girl jumps in ballet in class as two others look on,ein kleines mädchen springt im ballettunterricht während ihr zwei andere zuschauen
a girl in a bright outfit is playing in the leaves,ein mädchen in heller kleidung spielt in den blättern
two boys playing a game with marbles,zwei jungen spielen mit murmeln
two girls are in a sack race,zwei mädchen beim sackhüpfen
an elderly woman crafts a design on a loom,eine älter frau entwirft ein muster auf einem webstuhl
a woman picking up a couple plates of food from the table,eine frau nimmt einige teller mit essen vom tisch
a man holding a crow bar and wearing a masks looks up,ein mann mit einer brechstange in der hand und einer maske blickt auf
younger looking man wearing black shorts and tank with running shoes laying down on a outdoor bench,jüngerer mann in schwarzen shorts und tank-top mit laufschuhen liegt auf einer bank im frauen
two men standing in a crane lift next to several tall trees,zwei männer stehen in einem kran neben mehreren hohen bäumen
a group of young children standing in a row leaning against a wall,eine gruppe von kleinen kindern steht in einer reihe und lehnt sich gegen eine mauer
a black dog running in grass,ein schwarzer hund läuft durch gras
a man looks down from his balcony from a stone building,ein mann schaut vom balkon eines steinbaus herunter
a man in a city is crossing the street pushing a cart,ein mann überquert mit einem wagen die straße in einer stadt
a young boy colors on small sheets of paper,ein kleiner junge bemalt kleine blätter papier
a group of greyhound dogs runs around a dirt track,eine gruppe von windhunden läuft einen unbefestigten weg entlang
children in a classroom are lined up with their hands on each other &apos;s backs forming a train,kinder in einem klassenraum stehen in einer linie legen die hände auf den rücken des vordermanns und bilden so einen zug
the young men are having a good time at the beach,die jungen männer amüsieren sich am strand
a man dressed in red and white plays a banjo while others look on,ein rot-weiß gekleideter mann spielt banjo andere sehen zu
man drags what seems to be a wooden board with a carpet atop of a shallow body of water,ein mann zieht einen teppich auf etwas das wie ein holzbrett aussieht über eine untiefe im wasser
these skateboarders are attempting stunts at night,diese skateboarder versuchen tricks in der nacht zu machen
a man in a mustard yellow jacket sits in front of water while reading,ein mann in senffarbener jacke sitzt vor dem wasser und liest
two boys are doing tricks on their skateboards at a skateboard park,zwei jungs zeigen tricks auf ihren skateboards auf einer skateboardanlage
three people walk by a mural of a cow,drei personen gehen an einem wandbild von einer kuh vorbei
preteen girl with blond-hair plays with bubbles near a vendor stall in a mall courtyard,ein mädchen unter 10 jahren mit blondem haar spielt neben einem verkaufsstand im hof eines einkaufszentrums mit seifenblasen
two men dressed in arabic garb standing in a hallway,zwei männer in arabischem gewand stehen in einem flur
two men walking down a road in a tropical area with a tamed elephant,zwei männer in einer tropischen gegend gehen mit einem gezähmten elephanten eine straße entlang
a scientist in a lab points to a computer screen while one of his co-workers looks on,ein wissenschaftler zeigt auf einen computerbildschirm während einer seiner mitarbeiter hinschaut
two dogs running through grass next to a street,zwei hunde rennen durchs gras neben einer straße
a sidewalk scene with a girl in white shirt biting her thumb,eine bürgersteigszene mit einem mädchen in weißem t-shirt das sich in den daumen beißt
two teams of men are playing basketball on a court in an empty stadium,zwei männerteams spielen basketball in einem leeren stadion
a man and woman are talking to each other,ein mann und eine frau sprechen miteinander
a group of people are gathered in a protest against the middle east violence,eine gruppe von menschen hat sich zu einer protestkundgebung gegen die gewalt im nahen osten versammelt
a man wearing glasses and a woman wearing a black hat and dark sunglasses sit together on a subway train,ein mann mit brille und eine frau mit schwarzer mütze und dunkler sonnenbrille sitzen zusammen in einer u-bahn
three young women and one young man singing in an auditorium,drei junge frauen und ein junger mann sitzen in einem hörsaal
a group of three dogs are walking through the snow,eine gruppe von drei hunden läuft durch den schnee
man with glasses on speaking in a microphone surrounded by a group of people,ein mann mit brille der von einer personengruppe umgeben in ein mikrofon spricht
a man in overall jeans working on an old train,ein mann im jeansanzug arbeitet an einem alten zug
a little boy is walking carrying a little pink flag,ein kleiner junge läuft mit einer kleinen pinkfarbenen flagge in der hand
a man on the sea,ein mann auf dem meer
a blond-haired woman is sitting down next to a pile of backpacks,eine blonde frau sitzt neben einem haufen rucksäcke
four students are sitting on the floor by a model volcano,vier schüler sitzen auf dem boden neben einem modellvulkan
a man is walking his bike in china,ein mann in china schiebt sein fahrrad
a frowning elderly person is walking and carrying a plastic bag,eine die stirn runzelnde ältere person trägt eine plastiktüte
a woman is jogging while listening to her ipod,eine frau hört beim joggen mit ihrem ipod musik
two fashionable girls stand on a sidewalk in front of some bikes,zwei modisch gekleidete mädchen stehen auf einem bürgersteig vor einigen fahrrädern
an african woman standing near a picket fence by the roadside,eine afrikanische frau steht neben einem lattenzaun am straßenrand
four people two in green uniforms and two in red uniforms are playing a game of lacrosse,vier personen zwei in grüner und zwei in roter spielkleidung spielen ein lacrosse-spiel
a child with a rubber noodle is coached by two men wearing rubber clown noses,ein kind mit einer gumminudel wird von zwei männern unterrichtet die clownsnasen tragen
a young man wearing a checkered shirt at a young bull fight,ein junger mann trägt ein kariertes hemd bei einem jungstierkampf
a little girl with a purple fuzzy hat is riding a tricycle outside,ein kleines mädchen mit violetter plüschmütze fährt draußen auf einem dreirad
an older man cutting up a bunch of coconuts,ein älterer mann schneidet mehrere kokosnüsse ab
a man and two women on one motorcycle,ein mann und zwei frauen auf einem motorrad
a group of smiling young women posing together,ein gruppe lächelnder junger frauen die zusammen posieren
two commandos with gun by a staircase and an old man holding a hat is sitting on the stairs,zwei kommandos mit schusswaffe neben einer treppe und ein alter mann mit einem hut in der hand sitzt auf den stufen
a female tennis player on a blue court prepares to hit the ball,eine tennisspielerin auf einem blauen platz bereitet sich darauf vor den ball zu schlagen
a brown and white dog running in a field of grass,ein braun-weißer hund der auf einem stück gras rennt
a woman with a bag talks to a man on a bicycle near a street,eine frau mit tasche spricht mit einem mann auf einem fahrrad neben einer straße
a man without a shirt working on a rooftop,ein mann mit freiem oberkörper arbeitet auf einer dachspitze
a bald middle-aged man in a tank top is purchasing something from an elderly woman &apos;s table at a yard sale,ein kahlköpfiger mann mittleren alters kauft auf einem privaten flohmarkt einer älteren frau etwas ab
a boy on a chained swing looks to the right and smiles,ein junge auf einer kettenschaukel schaut nach rechts und lächelt
a beautiful young woman is holding her purse,eine schöne junge frau hält ihre tasche
the black dog is running through a swampy area with pieces of wood its mouth,der schwarze hund läuft durch ein sumpfiges gebiet mit holzstücken in seiner schnauze
a boy is enjoying eating pizza in a plate,ein junge genießt seine pizza von einem teller
two black and brown dogs are running through a field,zwei schwarz-braune hunde laufen über ein feld
a man and woman are preparing a mixture in front of a row of bikes,eine mann und eine frau bereiten vor einer reihe motorräder eine mixtur zu
a gymnast wearing a black and orange suit in midair,eine turnerin trägt einen schwarz-orangefarbenen anzug und ist in der luft
